query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,33,10.78,0,4.71,3.75,
query 2,51,13.56,6,4.74,3.75,4.57
query 3,232,14.35,2,4.8,3.75,7.24
query 4,153,14.38,2,4.87,3.75,9.98
query 5,14,10.55,13,4.9,3.75,11.27
query 6,5,9.88,5,4.79,3.75,11.34
query 7,13,9.89,3,4.81,3.75,11.32
query 8,23,10.13,1,4.83,3.75,11.24
query 9,26,10.83,3,4.8,3.75,11.28
query 10,268,10.68,10,4.96,3.75,11.81
query 12,10,10.53,1,4.94,3.75,11.83
query 13,20,10.6,1,4.94,3.75,11.64
query 16,4834,20.33,20,5.19,3.75,11.2
query 17,63,23.05,0,4.93,3.75,10.95
query 18,518,22.56,19,5.1,3.75,11.4
query 19,19,13.0,25,5.34,3.75,11.51
query 20,318,13.37,14,5.17,3.75,11.77
query 22, 54,6.21,2,4.98,3.75,11.72
